FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
5043,18615,12943,5271,12,112,0,84,193
5045,113730,97018,11872,499,1541,35,706,2059
5047,18110,17262,156,126,55,0,29,482
5049,12301,11946,36,41,105,0,0,173
5051,96249,82114,8043,599,844,14,3074,1561
5053,17852,17058,364,43,91,0,108,188
5055,42224,40966,279,170,32,0,195,582
5057,22548,14623,6811,40,5,0,651,418
5059,33011,28582,3602,120,24,0,76,607
5061,13790,9609,2943,152,42,0,989,55
5063,36572,34681,996,237,34,18,176,430
5065,13614,13053,163,24,27,49,17,281
5067,17885,14355,2945,77,40,6,113,349
5069,76836,32332,42307,101,638,75,472,911
5071,25554,24127,413,174,74,79,175,512
5073,7618,4683,2846,11,0,6,0,72
5075,17314,16894,114,32,0,0,9,265
5077,10430,4408,5888,34,0,0,94,6
5079,14167,9410,4182,27,0,0,290,258
5081,13068,9722,2863,70,0,0,106,307
5083,22352,20969,308,234,407,0,111,323
5085,68274,61297,4248,478,451,0,672,1128
5087,15674,14975,27,80,81,0,158,353
5089,16712,16183,39,72,51,0,79,288
5091,43449,31577,10581,158,264,0,163,706
5093,46388,29435,15855,78,170,9,156,685
5095,8145,4612,3422,30,2,0,52,27
5097,9453,8996,47,129,1,0,107,173
5099,9003,6034,2857,33,0,0,0,79
5101,8286,7862,38,64,0,0,29,293
5103,25894,14835,10423,61,24,0,37,514
5105,10413,9893,237,58,0,0,49,176
5107,21646,7776,13587,16,18,0,40,209
5109,11261,10126,397,96,14,0,517,111
5111,24506,22270,1782,49,15,0,68,322
5113,20535,19127,19,364,23,7,468,527
5115,61853,55942,2098,505,435,0,1559,1314
5117,8659,7455,1119,0,11,0,16,58
5119,383185,227501,134065,1116,7877,90,5597,6939
5121,17992,17475,54,30,76,1,45,311
5123,28089,12627,14580,62,55,12,351,402
5125,107498,98384,5011,602,982,24,1048,1447
5127,11170,10037,22,158,449,0,208,296
5129,8146,7858,26,69,19,0,0,174
5131,125795,104479,7356,1144,5161,117,1670,5868
5133,16978,11668,749,320,77,0,3851,313
5135,17278,16633,50,115,46,35,23,376
5137,12480,12119,9,17,109,0,29,197
5139,41594,26841,13703,128,225,0,108,589
5141,17223,16554,173,163,11,0,117,205
5143,204057,163956,6970,2239,4637,4205,17155,4895
5145,77007,70618,3246,186,263,12,1006,1676
5147,7262,5034,2086,13,0,7,15,107
5149,22033,18553,273,37,315,0,2527,328
6001,1515136,695847,185614,8456,400465,12674,127772,84308
6003,1197,852,0,236,32,22,40,15
6005,37764,33302,985,778,486,49,1239,925
6007,220101,184653,3206,2276,9241,411,7128,13186
6009,45507,41343,476,438,638,20,1081,1511
6011,21329,15448,177,259,223,45,3979,1198
6013,1052047,670524,96210,4656,152283,4860,70257,53257
6015,28496,21248,1085,1545,866,139,1867,1746
6017,180441,157401,1354,1790,6183,104,7018,6591
6019,930517,546915,47376,9490,88770,1278,199019,37669
6021,28078,22848,236,742,680,4,2639,929
6023,134317,111415,1647,7739,3205,467,3210,6634
6025,173487,120511,5643,2724,2680,151,36040,5738
6027,18474,14805,165,1943,269,99,880,313
6029,839153,599768,46649,9776,34451,1052,116770,30687
6031,151982,110937,10470,1901,5737,278,16561,6098
6033,64360,53781,1495,1996,719,118,3992,2259
6035,34628,24395,2931,1191,451,224,4111,1325
6037,9840024,5229697,839837,49624,1360561,25973,1983608,350724
6039,150615,121838,5248,2650,3012,520,11990,5357
6041,252759,201272,7284,667,14407,515,19668,8946
6043,18193,16132,141,669,272,39,342,598
6045,87577,72842,804,4200,1583,169,4779,3200
6047,256398,173461,9794,2622,19278,579,42488,8176
6049,9545,8417,129,288,36,0,332,343
6051,14181,11856,82,476,111,28,1134,494
6053,416199,309794,12568,3864,26195,1977,46587,15214
6055,136644,109393,2758,979,9450,485,9333,4246
6057,98521,91584,393,934,1386,192,1391,2641
6059,3021840,1886224,48985,12708,547024,9575,421154,96170
6061,350074,295714,4270,2579,21683,824,11597,13407
6063,19926,18139,253,428,234,172,213,487
6065,2192982,1455085,138216,22688,130982,6965,353226,85820
6067,1422348,853146,143842,12829,205867,14435,105623,86606
6069,55467,46065,826,569,1299,0,4820,1888
6071,2041029,1272922,178176,21023,130176,6484,342488,89760
6073,3100500,2217577,156645,21872,342886,14541,206280,140699
6075,807755,409445,48419,3690,270503,3485,38968,33245
6077,687036,410319,50463,6760,98513,3557,74101,43323
6079,270121,227208,5809,2724,9147,315,16050,8868
6081,721183,425330,20231,2733,180081,10614,49893,32301
6083,423594,324705,8396,4674,20775,897,48057,16090
6085,1788393,901689,46543,9860,577249,6432,169797,76823
6087,262340,215815,2707,1325,10910,407,20638,10538
