FIPS,Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More races
Geo_FIPS,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T013_005,SE_T013_006,SE_T013_007,SE_T013_008
16011,45312,40002,113,2530,294,32,1313,1028
16013,21323,19030,8,369,56,187,1510,163
16015,7014,6785,32,92,23,20,0,62
16017,40806,39289,127,335,239,31,85,700
16019,104177,95952,701,544,705,119,3803,2353
16021,10857,10238,0,235,71,21,64,228
16023,2828,2734,3,3,10,0,7,71
16025,1276,1141,6,27,0,0,64,38
16027,189396,173340,582,1356,1548,209,5589,6772
16029,6872,6569,7,1,33,0,143,119
16031,22813,20616,111,139,91,0,1372,484
16033,780,746,0,34,0,0,0,0
16035,8679,8183,25,207,73,0,27,164
16037,4338,4262,0,0,2,12,0,62
16039,26655,22359,774,337,542,74,1309,1260
16041,12739,12111,23,54,11,1,261,278
16043,13123,12684,5,103,42,0,134,155
16045,16768,15906,2,53,198,35,318,256
16047,15327,13326,2,254,72,0,1261,412
16049,16215,15317,19,395,18,5,47,414
16051,25940,24761,47,187,42,19,519,365
16053,22140,19598,35,418,6,0,1714,369
16055,139083,132247,283,1685,882,163,412,3411
16057,37365,34735,251,185,702,31,238,1223
16059,7892,7624,35,35,67,0,21,110
16061,3818,3523,0,138,22,11,0,124
16063,5167,4418,30,74,29,0,558,58
16065,37311,35753,209,71,292,71,145,770
16067,19909,16976,50,155,42,7,2127,552
16069,39226,35308,112,2051,344,152,167,1092
16071,4236,4094,0,27,0,0,7,108
16073,11479,10314,0,394,11,0,365,395
16075,22614,20991,15,248,106,7,514,733
16077,7717,7124,20,118,1,32,341,81
16079,12797,12313,17,121,67,0,18,261
16081,10007,9625,0,6,160,0,208,8
16083,77122,71124,362,522,892,2,2754,1466
16085,9793,9502,1,10,14,0,43,223
16087,10144,9276,0,28,107,0,547,186
17001,67098,62707,2418,72,505,0,448,948
17003,8147,5012,2833,24,28,0,12,238
17005,17762,16286,518,6,253,0,11,688
17007,54141,48923,1186,87,802,0,2185,958
17009,6913,5570,994,20,36,0,13,280
17011,34798,33564,221,116,259,4,344,290
17013,5065,4988,4,0,14,0,0,59
17015,15338,14775,75,18,58,8,106,298
17017,13570,11936,423,6,0,3,1017,185
17019,200931,150215,25348,377,18399,15,2064,4513
17021,34805,33554,501,59,190,10,170,321
17023,16353,16059,64,15,55,8,26,126
17025,13828,13459,86,64,62,0,28,129
17027,37793,35628,1309,71,181,0,126,478
17029,53683,50030,2024,41,493,17,140,938
17031,5197677,2934297,1284262,12224,328072,1241,539082,98499
17033,19777,18405,574,121,91,0,90,496
17035,11044,10846,56,9,81,6,3,43
17037,104820,88160,6526,191,2505,28,5094,2316
17039,16562,16099,217,4,12,7,123,100
17041,19908,19081,82,34,159,0,340,212
17043,918608,738739,41842,1429,93861,293,23981,18463
17045,18513,18169,73,7,122,0,27,115
17047,6691,6523,63,0,23,0,0,82
17049,34258,33428,87,23,123,0,309,288
17051,22082,20711,397,15,276,15,83,585
17053,14045,13705,75,25,28,0,57,155
17055,39518,38646,69,46,160,0,76,521
17057,36989,34996,1268,44,37,19,146,479
17059,5592,5430,23,21,12,0,12,94
17061,13828,13196,177,0,22,39,79,315
17063,49870,47587,539,36,199,0,742,767
17065,8430,8312,32,26,0,0,30,30
17067,19063,18635,60,80,56,1,27,204
17069,4315,4137,34,9,49,0,0,86
17071,7275,7038,21,6,25,17,98,70
17073,50378,47545,800,87,142,7,1028,769
17075,29689,28543,337,59,150,0,329,271
17077,59992,46903,8644,251,2002,20,440,1732
17079,9707,9521,6,11,20,0,74,75
17081,38908,34297,3108,82,320,0,212,889
17083,22939,22439,153,13,71,0,6,257
17085,22663,21981,114,70,100,6,234,158
17087,12653,11255,1201,5,30,0,20,142
17089,514891,378359,28009,1460,17335,110,78938,10680
17091,113170,89768,16821,168,1211,22,2701,2479
17093,114226,96523,6223,310,3527,0,4495,3148
17095,52698,46433,4144,92,404,6,844,775
17097,701282,545712,47655,1476,43978,291,45119,17051
17099,113688,106771,2012,179,658,0,2025,2043
17101,16778,12524,3662,34,23,56,227,252
17103,35778,32921,1621,41,232,0,327,636
17105,38903,35363,2333,10,216,11,525,445
17107,30278,25416,3600,17,382,11,476,376
17109,32568,29583,1654,65,737,10,129,390
17111,308163,279509,3449,550,7927,0,11678,5050
17113,169689,143872,12198,298,7263,24,1880,4154
17115,110558,88035,17612,78,1266,16,479,3072
17117,47712,46523,291,33,166,12,60,627
17119,268586,238068,21124,474,2305,24,1377,5214
17121,39319,36672,1283,52,217,3,100,992
17123,12567,12158,52,11,73,0,185,88
17125,14636,14366,135,20,51,21,0,43
17127,15370,13967,817,16,57,0,44,469
17129,12728,12394,116,6,46,0,1,165
17131,16421,16058,87,19,45,0,122,90
17133,33003,32401,75,22,155,30,16,304
17135,29977,27344,2208,20,150,0,86,169
17137,35544,32592,2239,41,70,0,28,574
17139,14844,14601,58,2,46,21,51,65
17141,53378,51392,499,17,312,0,438,720
17143,186399,140310,33054,555,5962,14,1818,4686
17145,22287,19675,1974,89,113,0,166,270
17147,16679,16362,82,0,40,0,16,179
17149,16436,15919,229,55,50,0,35,148
17151,4399,4116,205,0,12,0,1,65
17153,6107,3933,2038,4,8,0,11,113
17155,5968,5759,40,0,10,0,106,53
17157,33353,29543,3243,39,89,19,93,327
17159,16181,15719,59,11,199,0,14,179
17161,147504,120300,13388,450,2480,9,6878,3999
17163,268873,175382,81457,478,3058,41,1849,6608
17165,24975,23288,955,114,132,0,33,453
17167,197474,165311,23726,405,3166,41,1129,3696
17169,7499,7157,72,16,119,0,58,77
17171,5322,5222,0,0,7,0,17,76
17173,22316,22043,72,17,32,0,10,142
17175,5983,5853,20,0,53,0,6,51
17177,47532,41559,4316,80,398,14,55,1110
17179,135201,130374,1225,143,899,21,452,2087
17181,17799,17067,356,15,28,0,196,137
17183,81463,67679,10613,158,471,0,976,1566
17185,11935,11588,7,0,97,0,55,188
17187,17723,16109,460,46,154,7,761,186
17189,14692,14346,125,7,13,0,71,130
17191,16727,16448,69,8,87,0,22,93
17193,14686,14434,96,3,29,0,28,96
17195,58400,54057,802,266,283,74,1769,1149
17197,677669,522369,74036,1227,30643,138,33859,15397
17199,66335,61672,2618,259,450,12,236,1088
17201,294433,236835,36087,774,6865,85,6616,7171
17203,38736,37647,226,35,228,0,226,374
18001,34343,33380,123,66,61,0,201,512
18003,355940,284804,42209,1140,9621,256,8499,9411
18005,77297,69578,1410,195,2834,19,1940,1321
18007,8816,8640,41,0,0,0,40,95
18009,12742,12473,48,8,31,0,5,177
18011,56823,54190,610,56,1023,0,279,665
18013,15181,14834,24,131,32,0,34,126
18015,20105,19714,88,0,64,0,62,177
18017,38875,35049,610,80,425,6,2194,511
18019,110100,97309,7583,171,957,21,1597,2462
18021,26908,26303,56,53,73,14,34,375
18023,33179,31121,218,126,17,0,1223,474
18025,10702,10469,52,108,0,0,25,48
18027,31604,30491,187,76,181,90,367,212
18029,49904,48691,338,99,227,29,116,404
18031,25772,25094,120,2,265,0,123,168
18033,42218,41066,61,42,173,0,233,643
18035,117459,104735,5509,275,1331,18,706,4885
18037,41995,40838,181,62,148,0,489,277
18039,198214,168630,11455,606,2046,35,10581,4861
18041,24220,23477,293,5,57,0,76,312
18043,74601,67975,3463,75,726,59,473,1830
18045,17212,16766,54,44,61,0,118,169
18047,23108,22735,17,41,98,0,78,139
18049,20762,19848,205,55,105,4,288,257
18051,33437,31782,722,6,39,0,309,579
18053,69886,62300,4792,79,374,0,408,1933
18055,33032,32401,135,87,32,25,131,221
18057,276098,245060,9351,390,12952,61,2075,6209
18059,69778,66516,1443,189,566,0,204,860
18061,39102,38199,198,31,208,0,82,384
18063,145880,132060,7051,140,2857,48,1219,2505
18065,49381,47224,710,83,143,15,273,933
18067,82914,73579,5902,149,896,82,640,1666
18069,37144,36125,211,67,199,5,83,454
18071,42414,40249,130,168,313,0,839,715
18073,33369,32555,248,83,62,0,44,377
18075,21353,21007,57,36,3,0,26,224
18077,32501,30793,672,0,273,0,487,276
18079,28373,27682,75,41,85,0,67,423
18081,140033,131240,2044,240,2449,14,1768,2278
18083,38392,36318,1052,38,185,0,311,488
18085,77328,71652,460,204,812,19,3257,924
18087,37284,36375,46,17,26,0,178,642
18089,495230,308780,126091,1615,6288,97,40264,12095
18091,111335,95377,11856,249,575,4,1008,2266
18093,46131,44791,238,108,222,0,270,502
18095,131244,115997,8813,116,629,16,1411,4262
18097,904535,580773,239965,2274,18219,129,37798,25377
18099,47045,43495,330,82,308,27,2001,802
18101,10300,10106,20,18,76,15,3,62
18103,36850,33723,1740,370,71,0,276,670
18105,138048,121045,4299,505,7589,49,1456,3105
18107,38207,36772,507,117,169,0,258,384
18109,69033,67449,194,84,380,0,258,668
18111,14199,13779,37,22,16,16,86,243
18113,47547,46044,63,53,222,2,501,662
18115,6093,5973,57,0,0,0,0,63
18117,19828,19260,263,51,37,0,57,160
18119,21583,21148,100,44,97,0,49,145
18121,17251,16655,398,29,45,0,11,113
18123,19408,18569,506,48,36,0,39,210
18125,12849,12777,4,0,38,0,0,30
18127,164386,152206,4832,422,2281,45,2190,2410
18129,25840,25006,329,18,4,0,209,274
18131,13395,13040,33,13,45,0,61,203
18133,37995,35610,1491,169,316,0,83,326
18135,26101,25359,83,16,7,0,225,411
18137,28702,28067,97,3,199,0,63,273
18139,17349,16914,139,3,53,0,73,167
18141,266785,212406,34048,935,4726,171,6220,8279
18143,24044,23488,117,54,17,0,163,205
18145,44435,42021,488,97,300,35,1058,436
18147,20948,20214,138,64,129,0,355,48
18149,23310,22701,81,44,43,12,151,278
18151,34116,31758,264,138,170,7,140,1639
18153,21379,20060,1061,49,19,0,60,130
18155,10509,10265,45,14,0,0,93,92
18157,173317,148425,6826,307,10816,38,2800,4105
18159,15917,15605,41,0,37,0,74,160
18161,7449,7214,42,7,39,0,0,147
18163,179610,155816,16053,383,1753,9,1194,4402
18165,16224,15982,21,69,28,0,15,109
18167,107805,94906,7250,364,1895,35,770,2585
18169,32804,31671,219,303,96,0,300,215
18171,8490,8297,7,6,18,0,80,82
18173,59643,56685,515,131,853,0,383,1076
18175,28162,27735,125,37,52,0,7,206
18177,68797,62191,2239,46,628,0,759,2934
18179,27677,27086,148,80,30,0,61,272
18181,24612,23978,64,60,63,6,128,313
18183,33234,32268,160,60,49,0,268,429
19001,7628,7457,11,12,46,0,0,102
19003,4027,3944,12,6,0,0,10,55
19005,14285,13614,39,187,136,0,45,264
19007,12858,12500,61,3,38,0,20,236
19009,6077,5978,4,33,9,0,4,49
19011,26044,25361,65,6,41,0,177,394
19013,130843,112517,11774,213,1851,38,1595,2855
19015,26324,25693,236,66,155,0,23,151
19017,24294,23629,200,22,122,45,38,238
19019,20988,20494,136,41,109,0,97,111
19021,20215,16641,478,23,1173,95,1279,526
19023,14899,14687,41,29,41,7,10,84
19025,9936,9691,87,11,20,0,14,113
19027,20751,20190,85,55,169,8,117,127
19029,13865,13536,64,40,12,0,70,143
19031,18446,18045,16,11,121,0,66,187
19033,44083,41979,554,86,424,0,283,757
19035,12011,11650,36,35,24,0,110,156
19037,12409,12131,29,110,65,0,16,58
19039,9286,9125,91,5,10,0,0,55
19041,16649,16053,48,29,67,54,198,200
19043,18056,17647,62,24,19,0,46,258
19045,49074,46205,1471,73,200,0,243,882
19047,17100,15708,108,24,8,0,934,318
19049,66997,61805,856,33,1658,15,1461,1169
19051,8718,8598,9,20,23,0,4,64
19053,8382,8012,148,62,63,0,29,68
19055,17721,17463,24,11,18,0,2,203
19057,40268,36857,2061,97,343,0,127,783
19059,16778,16453,58,21,51,73,14,108
19061,93776,88413,1359,162,1090,73,103,2576
19063,10263,9685,92,19,32,14,71,350
19065,20894,20208,186,97,81,8,34,280
19067,16204,15605,224,0,159,14,31,171
19069,10650,9782,19,2,47,0,615,185
19071,7373,7153,15,21,2,0,86,96
19073,9304,9061,10,3,16,0,89,125
19075,12431,12244,25,13,30,0,30,89
19077,10915,10631,32,33,3,7,72,137
19079,15614,14595,52,158,366,0,258,185
19081,11320,10911,7,41,32,0,166,163
19083,17479,16853,141,24,134,0,136,191
19085,14838,14554,15,36,45,0,14,174
19087,20242,18918,428,50,526,0,43,277
19089,9568,9385,73,1,40,0,0,69
19091,9818,9552,13,7,20,0,55,171
19093,7113,7017,16,1,16,0,5,58
19095,16320,16042,60,4,30,5,24,155
19097,19807,18555,135,21,39,77,35,945
19099,36823,35623,451,152,181,4,81,331
19101,16791,14773,196,26,1199,0,136,461
19103,131627,112878,6122,299,7235,11,2198,2884
19105,20686,19830,360,126,76,42,106,146
19107,10480,10310,32,8,2,0,27,101
19109,15510,15243,34,8,73,0,46,106
19111,35741,33447,1049,52,176,9,196,812
19113,211954,192021,8621,566,3802,63,2152,4729
19115,11448,10659,125,0,59,13,411,181
19117,8913,8790,12,51,12,0,0,48
19119,11623,11416,3,20,19,0,74,91
19121,15630,15315,91,17,30,0,42,135
19123,22432,21394,169,46,154,13,221,435
19125,33388,32338,185,99,397,0,26,343
19127,40568,35248,756,162,562,8,3212,620
19129,15028,14624,82,36,50,0,17,219
19131,10761,10615,21,0,27,23,11,64
19133,9242,8948,21,36,6,0,19,212
19135,7979,7701,50,99,67,0,47,15
19137,10710,10413,4,0,11,0,109,173
19139,42729,39782,574,124,428,0,1066,755
19141,14302,13823,30,36,49,0,142,222
19143,6413,6305,42,21,15,0,7,23
19145,15902,15046,353,40,143,0,121,199
19147,9402,9222,37,28,35,0,0,80
19149,24911,24018,36,58,169,0,298,332
19151,7307,7145,63,3,3,14,35,44
19153,431811,368901,25438,1132,15608,288,9719,10725
19155,92793,87293,1257,260,625,8,1814,1536
19157,18888,17997,182,37,342,4,72,254
19159,5123,5042,5,24,20,0,0,32
19161,10307,10116,75,5,21,4,49,37
19163,165432,143495,11980,415,3270,0,1685,4587
19165,12158,11847,10,8,90,12,44,147
19167,33776,31614,175,75,291,0,1296,325
19169,89734,79969,2516,131,5530,0,526,1062
19171,17746,15759,98,1286,59,0,230,314
19173,6292,6048,6,29,29,0,101,79
19175,12525,12065,270,11,12,0,1,166
19177,7565,7442,20,7,26,0,14,56
19179,35449,33122,469,68,314,0,894,582
19181,46239,44988,218,31,171,31,146,654
19183,21765,20625,185,6,58,22,521,348
19185,6372,6277,5,6,26,0,0,58
19187,37895,34950,1628,65,245,0,382,625
19189,10800,10414,94,18,39,2,61,172
19191,21033,20345,173,97,195,0,123,100
19193,101948,85453,2518,1785,2547,174,6377,3094
19195,7581,7423,25,1,6,0,23,103
19197,13173,12493,32,17,34,30,450,117
20001,13364,12512,266,83,85,0,69,349
20003,8066,7730,22,11,0,0,0,303
20005,16854,15402,886,78,42,0,34,412
20007,4867,4708,8,14,0,0,23,114
20009,27556,25752,423,59,45,9,770,498
20011,15060,14112,438,79,104,0,1,326
20013,9962,8578,150,994,51,0,10,179
20015,65647,61150,1035,435,486,6,620,1915
20017,2788,2682,32,23,2,0,12,37
20019,3654,3306,29,191,0,0,31,97
20021,21521,19587,117,897,82,14,17,807
20023,2724,2682,0,5,27,0,0,10
20025,2198,2050,4,17,11,7,51,58
20027,8547,8279,127,42,13,0,0,86
20029,9479,9215,31,26,52,0,47,108
20031,8553,8287,56,46,25,10,9,120
20033,1893,1836,0,25,8,0,19,5
20035,36259,31749,1054,1002,610,2,904,938
20037,39133,36047,847,374,577,0,306,982
20039,2939,2849,27,14,7,7,3,32
20041,19766,18921,68,117,60,0,52,548
20043,7931,7317,274,75,48,2,45,170
20045,111073,94812,4218,2517,4301,14,710,4501
20047,3021,2868,9,0,21,0,77,46
20049,2856,2710,24,11,16,0,9,86
20051,28525,26895,304,38,330,25,490,443
20053,6477,5971,300,19,9,0,31,147
20055,36608,31698,871,158,1183,0,1755,943
20057,33725,29712,597,301,464,16,1814,821
20059,25916,24370,185,121,98,12,328,802
20061,34110,23307,6060,208,1231,138,551,2615
20063,2771,2710,18,3,0,0,5,35
20065,2617,2414,92,20,19,9,0,63
20067,7817,6588,3,82,0,4,985,155
20069,5982,5717,0,0,24,0,112,129
20071,1234,1172,10,0,2,0,14,36
20073,6654,6406,11,17,4,0,0,216
20075,2656,2554,1,3,0,0,71,27
20077,5998,5743,38,46,6,9,73,83
20079,34572,31904,399,228,231,0,997,813
20081,4222,3686,11,49,25,0,395,56
20083,1949,1931,1,0,0,0,0,17
20085,13401,11658,153,885,57,14,59,575
20087,19036,18282,46,202,11,0,21,474
20089,3085,3004,12,7,24,0,16,22
20091,546046,476361,23183,1674,22669,298,8320,13541
20093,3952,3577,18,9,0,0,206,142
20095,7876,7648,42,49,0,0,14,123
20097,2503,2422,9,20,2,0,2,48
20099,21574,19034,761,189,89,19,109,1373
20101,1666,1567,1,29,0,0,41,28
20103,76286,64073,6522,790,1137,125,915,2724
20105,3240,3158,3,5,29,0,0,45
20107,9613,9324,40,25,131,0,0,93
20109,2766,2617,0,0,94,0,0,55
20111,34103,30285,723,88,743,0,1112,1152
20113,29208,28006,280,168,208,34,124,388
20115,12565,12163,110,43,38,21,24,166
20117,10083,9839,24,18,85,0,37,80
20119,4504,3977,41,6,35,0,351,94
20121,32546,31166,425,115,33,0,85,722
20123,6359,6252,21,8,22,0,36,20
20125,35167,29492,2019,625,250,119,367,2295
20127,5917,5742,6,57,11,0,15,86
20129,3207,2715,40,36,45,0,345,26
20131,10170,9932,102,38,0,0,13,85
20133,16501,15702,193,75,39,3,53,436
20135,3102,2960,11,4,0,0,75,52
20137,5658,5208,206,17,21,0,54,152
20139,16300,15757,68,99,63,0,46,267
20141,3852,3773,12,7,15,20,6,19
20143,6099,5928,49,10,0,0,7,105
20145,6945,6319,347,23,0,0,70,186
20147,5579,5302,10,15,13,1,49,189
20149,21620,20419,318,118,192,6,159,408
20151,9670,9170,106,51,53,12,70,208
20153,2555,2483,5,9,0,0,20,38
20155,64346,58660,2004,358,325,14,1421,1564
20157,4965,4847,6,12,22,0,16,62
20159,10077,9206,57,182,121,0,269,242
20161,71927,60988,4478,357,3250,162,465,2227
20163,5205,5017,24,5,13,1,12,133
20165,3262,3160,44,24,0,0,3,31
20167,6926,6683,67,28,0,0,9,139
20169,55493,49150,1680,305,1307,64,1242,1745
20171,4872,4547,7,31,0,0,197,90
20173,497062,388827,44320,4102,19887,290,18269,21367
20175,23013,15484,1004,190,675,0,5209,451
20177,177688,144807,14875,1970,2216,37,5993,7790
20179,2562,2525,11,0,0,0,2,24
20181,6036,5685,65,16,80,0,136,54
20183,3835,3721,4,21,8,0,1,80
20185,4398,4174,27,37,12,0,96,52
20187,2200,1709,23,7,14,0,319,128
20189,5633,4254,36,52,42,0,1119,130
20191,24000,22882,140,361,12,29,76,500
20193,7854,7599,112,12,11,2,33,85
20195,2977,2870,12,7,8,0,31,49
20197,7048,6800,43,14,10,0,23,158
20199,1508,1497,1,8,2,0,0,0
20201,5806,5672,52,34,23,0,7,18
20203,2239,2190,0,12,6,0,17,14
20205,9368,8991,8,71,56,0,22,220
20207,3311,3169,0,22,8,0,0,112
20209,157274,96905,40125,1255,4167,48,10089,4685
21001,18651,17806,536,6,36,0,63,204
21003,20007,19435,209,44,84,0,95,140
21005,21442,20584,581,5,64,0,37,171
21007,8268,7866,256,21,34,0,6,85
21009,42229,39463,1910,48,230,6,113,459
21011,11665,11239,223,0,0,0,94,109
21013,28613,27303,678,86,88,0,71,387
21015,119406,109741,3395,438,2596,0,1529,1707
21017,20004,18080,1328,60,64,0,252,220
21019,49358,46820,1376,82,241,8,165,666
21021,28445,25256,1861,99,234,6,244,745
21023,8488,8446,12,10,0,0,0,20
21025,13922,13689,73,16,47,17,0,80
21027,20068,19197,484,17,39,0,109,222
21029,74431,71922,438,229,273,36,562,971
21031,12748,12419,80,140,4,0,42,63
21033,12977,12078,672,17,18,35,31,126
21035,37198,34289,1422,97,717,14,150,509
21037,90119,84869,2390,96,615,15,388,1746
21039,5081,4943,55,64,0,0,0,19
21041,10851,10322,134,24,121,0,71,179
21043,27594,27108,164,18,84,0,0,220
21045,15984,15599,132,33,8,0,47,165
21047,73722,53326,15466,357,974,311,937,2351
21049,35555,33057,1843,52,163,57,68,315
21051,21833,20336,1025,122,39,0,90,221
21053,10244,9834,126,0,13,0,85,186
21055,9321,9104,61,16,3,0,0,137
21057,6857,6543,249,0,0,0,6,59
21059,96711,88633,4689,98,662,30,899,1700
21061,12141,11921,146,8,12,8,0,46
21063,7774,7468,227,0,6,0,30,43
21065,14647,14386,38,36,0,0,0,187
21067,296766,227058,42188,694,10168,180,8694,7784
21069,14415,13995,172,14,0,0,29,205
21071,39454,38698,351,60,37,12,92,204
21073,49399,41306,5204,35,646,0,1073,1135
21075,6758,4954,1599,14,96,0,2,93
21077,8513,7888,77,0,54,0,357,137
21079,16892,16092,347,37,0,0,255,161
21081,24683,23770,127,3,10,129,320,324
21083,37200,34397,1510,48,135,0,302,808
21085,25772,24905,192,12,38,0,271,354
21087,11309,10792,299,21,20,0,16,161
21089,36922,35913,258,141,148,0,35,427
21091,8588,8347,97,15,0,6,40,83
21093,104513,84415,12543,289,2398,403,671,3794
21095,29210,28015,748,67,5,73,119,183
21097,18781,17869,446,87,37,0,252,90
21099,18278,17082,927,16,17,7,0,229
21101,46254,41241,3552,143,137,0,291,890
21103,15428,14461,460,62,0,0,201,244
21105,4869,4280,498,0,47,0,4,40
21107,46891,42516,2750,80,254,202,129,960
21109,13475,13354,1,0,0,0,0,120
21111,741285,545265,152893,1266,16620,292,7512,17437
21113,48591,45178,1489,82,449,44,504,845
21115,23339,22966,101,18,132,0,28,94
21117,159926,145528,7493,326,1542,0,2133,2904
21119,16368,16048,157,0,28,0,16,119
21121,31874,30949,529,70,1,19,112,194
21123,14175,13196,468,40,0,0,241,230
21125,58891,57259,407,95,317,0,195,618
21127,15889,15673,27,0,45,0,0,144
21129,7831,7692,73,4,9,0,5,48
21131,11318,11155,32,7,16,0,13,95
21133,24336,24012,101,12,39,0,30,142
21135,13889,13381,107,5,14,0,187,195
21137,24671,23517,637,7,84,0,75,351
21139,9479,9275,77,8,33,0,8,78
21141,26786,24414,2087,11,4,2,52,216
21143,8336,7710,557,0,0,0,19,50
21145,65558,56034,6400,187,489,34,214,2200
21147,18204,16582,1152,62,0,18,98,292
21149,9554,9393,51,14,0,0,7,89
21151,83174,76249,3583,231,915,28,589,1579
21153,13229,13021,37,34,0,0,0,137
21155,19872,17544,1815,0,127,0,204,182
21157,31393,30869,112,17,76,0,30,289
21159,12934,11776,887,66,3,21,93,88
21161,17495,15781,1244,19,20,0,158,273
21163,28979,26621,1244,65,222,0,305,522
21165,6331,6120,72,14,7,0,42,76
21167,21283,20052,761,0,27,0,26,417
21169,10074,9707,189,0,0,6,98,74
21171,10925,10546,248,0,0,0,18,113
21173,26517,25221,830,14,0,0,172,280
21175,13898,13074,512,0,53,0,80,179
21177,31399,29303,1434,100,12,88,168,294
21179,43500,40377,2244,78,151,0,31,619
21181,7092,7010,33,0,4,0,45,0
21183,23975,22926,367,31,11,0,441,199
21185,60357,54997,2652,196,846,36,858,772
21187,10870,10615,142,0,22,0,37,54
21189,4764,4581,43,0,44,0,0,96
21191,14771,14509,69,5,0,0,0,188
21193,28617,27619,311,75,158,0,121,333
21195,64887,63550,358,28,365,13,151,422
21197,12638,12362,116,19,23,0,49,69
21199,63045,60544,714,133,286,79,620,669
21201,2251,2250,0,1,0,0,0,0
21203,17090,16764,70,126,7,0,20,103
21205,23351,22261,243,7,141,0,263,436
21207,17562,17153,143,47,10,0,70,139
21209,47211,42484,2741,125,426,0,792,643
21211,42286,36187,3236,62,336,0,1571,894
21213,17323,15137,1729,55,122,0,73,207
21215,17135,16511,410,52,24,0,9,129
21217,24514,22689,1174,31,157,0,50,413
21219,12472,11151,1056,4,0,0,137,124
21221,14282,12806,1074,21,93,0,0,288
21223,8829,8424,157,76,0,0,73,99
21225,14992,12813,1845,65,35,0,84,150
21227,113787,94913,10438,325,3172,103,2714,2122
21229,11701,10643,773,30,18,0,95,142
21231,20819,19744,395,0,0,18,407,255
21233,13618,12640,666,51,16,1,139,105
21235,35756,34761,197,1,107,11,119,560
21237,7298,7260,2,0,0,0,0,36
21239,24847,22122,1399,12,107,2,819,386
22001,61611,48543,11184,136,169,70,566,943
22003,25740,18791,5194,626,198,0,307,624
22005,107647,80220,24118,281,1048,0,946,1034
22007,23321,15742,7147,68,42,0,125,197
22009,41925,28265,12366,436,182,22,93,561
22011,35662,29434,4545,249,291,12,110,1021
22013,14312,7900,5980,81,11,0,82,258
22015,117742,85746,25161,804,1736,39,2319,1937
22017,254970,124850,120654,1025,2751,140,1891,3659
22019,192307,136839,47988,858,2160,63,1262,3137
22021,10118,8168,1792,0,14,0,26,118
22023,6934,6772,140,0,0,0,0,22
22025,10409,7075,3036,41,11,0,43,203
22027,17059,8137,8576,60,82,4,35,165
22029,20624,11897,8432,40,64,0,9,182
22031,26695,15327,10225,228,257,6,288,364
22033,439662,217198,199527,611,12657,178,3172,6319
22035,7738,2266,5401,23,9,0,6,33
22037,20252,10784,9143,77,71,0,23,154
22039,33989,23497,9623,65,95,0,330,379
22041,20714,13919,6691,0,4,0,0,100
22043,22049,17680,3478,159,19,25,238,450
22045,73527,46219,23331,452,1658,0,438,1429
22047,33386,16446,16240,30,40,0,107,523
22049,16210,11112,4863,25,54,0,8,148
22051,432706,274998,114745,2672,17173,198,15873,7047
22053,31529,25003,5314,95,86,0,239,792
22055,221602,155396,56912,549,3274,81,1582,3808
22057,96453,77363,13000,2599,753,0,1086,1652
22059,14840,12739,1823,135,29,0,29,85
22061,46543,25790,18912,106,823,0,339,573
22063,128192,118139,6796,537,571,2,747,1400
22065,12113,4506,7387,49,10,0,69,92
22067,27893,14366,13140,16,36,0,31,304
22069,39434,21477,16322,291,174,34,260,876
22071,341407,114394,205449,1102,10002,322,5278,4860
22073,153752,93162,56382,438,1334,27,845,1564
22075,23220,16492,4891,430,816,0,242,349
22077,22821,14120,8343,76,82,0,64,136
22079,131655,84258,42313,828,1581,44,704,1927
22081,9068,5369,3575,16,20,0,0,88
22083,20785,13021,7457,12,91,10,8,186
22085,24265,17080,4054,1843,74,25,178,1011
22087,35947,27454,6411,178,788,0,177,939
22089,52663,36966,13948,108,459,23,231,928
22091,11106,4989,6005,25,0,0,0,87
22093,21978,10702,11116,12,82,0,17,49
22095,45741,20151,24452,121,257,84,251,425
22097,83774,47373,34518,87,364,0,262,1170
22099,52343,34549,16081,343,462,16,313,579
22101,54285,32678,17351,892,852,18,779,1715
22103,234283,195913,27018,853,3167,101,3315,3916
22105,121209,81287,36544,424,832,18,803,1301
22107,5189,2204,2929,0,5,0,47,4
22109,111666,78941,20633,5863,1132,39,1818,3240
22111,22633,16042,6049,82,19,17,171,253
22113,58041,47334,8316,256,1217,0,367,551
22115,51542,39634,7300,636,877,208,551,2336
22117,47025,31677,14476,85,80,0,116,591
22119,41156,26450,13852,131,166,0,126,431
22121,23748,14169,8717,41,102,0,255,464
22123,11587,9536,1869,7,33,0,36,106
22125,15575,8181,6964,259,13,0,29,129
22127,15233,10153,4793,130,1,0,96,60
23001,107766,100191,1875,174,675,25,360,4466
23003,71757,68595,430,998,352,37,164,1181
23005,282143,262284,7397,580,5931,60,925,4966
23007,30704,29738,94,76,181,0,20,595
23009,54470,52949,153,177,469,0,55,667
23011,122022,117567,807,646,1069,34,357,1542
23013,39848,38703,237,106,230,0,25,547
23015,34440,33637,75,53,221,0,58,396
23017,57814,56148,251,205,315,40,66,789
23019,153742,146522,1137,1649,1415,3,470,2546
23021,17432,16910,17,58,136,0,37,274
