year,white_sd,black_sd,asian_sd,native_sd,other_sd
1990,158.9640031,350.3787873,142.3076267,344.9947346,397.346764
1991,103.9143835,233.1089681,30.40959734,234.9983514,216.2776488
1992,93.05020387,168.8335558,43.73848884,146.8457394,194.6057557
1993,76.50071644,148.1986726,36.58776692,115.1673308,127.7328537
1994,72.04876702,141.2288204,26.69749897,85.15229076,106.7672564
1996,58.0351421,98.27181167,27.42817223,78.34014176,117.3137005
1997,40.42977814,119.9423804,25.01251788,57.54361453,77.61907012
1998,30.07922412,47.75565844,20.05826463,42.7586279,60.02090801
1999,30.87026563,43.6711937,12.34518805,35.38098966,33.3068271
2000,45.83614674,101.2085174,32.95422787,43.40482661,75.73854251
2001,28.0288519,52.2809838,20.92727176,33.49658222,56.01472014
2002,19.99402319,28.16387127,13.1169839,22.28539241,27.74997573
2003,18.42461899,19.62443054,11.52325074,12.51757539,14.5672847
2005,19.60236529,23.29577462,14.09913278,7.832030352,12.95563074
2006,18.86834464,26.81936342,13.87284072,18.26715751,20.46423236
2007,13.30601109,26.49839284,10.4859607,12.38565194,25.48949515
2008,12.61419183,19.2819723,9.65989436,17.04162248,13.99364819
2009,7.930986476,10.02856246,4.779153979,7.114800961,8.105481484
2010,7.233898607,16.68556608,4.386487597,9.708775077,6.251142369
