"year","sim_b","sim_o","sim_h"
1990,29658.1505523393,19924.4023832553,25035.2118631739
1991,21972.8840394115,14758.5119987248,18834.803196504
1992,18050.2540979887,12430.437915371,15231.0664651511
1993,14971.9024388376,10176.1111753489,13119.6713159265
1994,14356.2626304311,9878.16319277641,12583.1312918588
1996,10953.8919796659,7572.46474445428,9602.02185143662
1997,9435.59003997724,6178.09013351655,7984.61426630731
1998,7471.3553366916,4964.56932363881,6373.21954634412
1999,6317.71214154301,4387.7064859814,5399.65487144766
2000,6595.14331060981,4353.16305731195,5621.47144224645
2001,5757.45017633008,3938.22329142183,4953.56532291103
2002,4264.42361345789,2918.99510365629,3605.27144476187
2003,3526.72160883053,2448.46247975914,2984.70455257771
2005,3437.05298039935,2273.50683931752,2939.48505130326
2006,3570.29652138817,2327.64858301771,3018.6734112657
2007,3005.6391888597,1898.2223308633,2505.36862504416
2008,2473.19114002708,1743.41961285262,2131.88617481846
2009,1752.99265369002,1100.55327352416,1409.22851652071
2010,1745.6594524942,1168.38638447796,1470.42440932368
2011,1716.64899024897,1127.32710419307,1419.49091463469
2012,1887.88055024128,1249.01824382336,1582.03159402823
2013,1459.74151695511,920.615647269462,1201.9533382896
