year,white_sd,black_sd,asian_sd,native_sd,other_sd
1990,1.855845361,2.530494156,0.220653953,2.897944685,1.155763459
1991,0.490397867,1.673787532,0.000511976,2.544831244,0.894733667
1992,0.55341973,0.901689137,0.002919859,1.836388948,0.333129257
1993,0.472296309,2.352355323,0.013188836,3.380279295,0.076834405
1994,0.73864742,3.73013419,0.023098755,4.983008566,0.299709374
1996,0.395987556,1.163911077,0.026349699,0.627952557,0.122424849
1997,0.180349277,0.704997123,0.034852737,1.005477933,0.210397893
1998,0.248566493,0.535241183,0.060600264,0.720755403,0.218807941
1999,0.179823816,1.02499445,0.043563317,1.06773509,0.257044257
2000,0.371272685,0.822094605,0.092737464,2.73785591,0.377190541
2001,0.377651187,1.455666216,0.033557399,1.82868071,0.380638018
2002,0.148397719,1.01299928,0.04245859,0.78510912,0.094152657
2003,0.106721707,0.809087399,0.024732735,0.878254969,0.029117154
2005,0.13681709,0.562603734,0.018085178,1.103430057,0.188448104
2006,0.120426906,0.56187302,0.013450775,1.247144634,0.103527993
2007,0.132654778,0.242365299,0.017568402,0.295552106,0.20938595
2008,0.108694547,0.400481279,0.019332021,0.624745974,0.154022864
2009,0.036985469,0.18669878,0.006661958,0.144665886,0.079884005
2010,0.049287624,0.189562299,0.008143187,0.140228755,0.063789133
