"year","sim_b","sim_o","sim_h"
1990,171.529231746655,41.7489141497431,31.5401505104192
1991,99.9107943476673,24.9173886105322,20.2039318488215
1992,85.7141279141324,22.8286522146494,15.6024060944181
1993,99.1202369484256,19.123379038746,13.8925210111746
1994,123.388565003948,29.9334630954195,20.707165861807
1996,72.0606952763997,14.9709288980414,11.1039343285376
1997,46.919333400527,9.64524968075011,8.27642224948668
1998,51.2090208288728,11.1955273385753,8.5417379532504
1999,40.1950567059926,7.24572159697832,4.9816531123215
2000,49.2235214481859,11.1458628930162,7.79301641230084
2001,48.4213255665882,12.2184762436822,8.91710133637678
2002,36.1912501456359,7.50758214356865,5.01126497692237
2003,20.6333033399131,3.70443703990855,2.73225277474354
2005,26.3437879264677,4.45495808970791,3.51989060043586
2006,24.7377275822373,4.95730573632112,3.5006482371454
2007,18.7882921729773,4.34233083983973,3.25224910735726
2008,19.0854016805785,5.01026912281651,3.35715521591941
2009,10.3756885911622,1.93537040575775,1.10322255741552
2010,9.15849631547336,1.94465430991666,1.0609593436784
2011,11.4464746409961,1.83203756532232,1.39235238486804
2012,11.008316592667,1.54343866152585,1.07378190148654
2013,12.5740311487143,2.09129055504462,1.63114453408967
