"n","sd","mean"
100,59.5850434682128,98.7095052795219
200,46.6707569414978,79.3276295940028
300,16.5528253781756,69.2805836755771
400,24.8357809859161,72.92055639128
500,18.2655344061153,68.1660340028228
600,20.4311233658165,65.5752736300516
700,10.0801677542573,64.8173351213842
800,9.73257294598431,64.591954961287
900,16.2749163204697,67.6417108504269
1000,7.20968469665488,67.5847504100417
2000,6.11639845806366,64.5053898475359
3000,4.93233345732583,64.680717171169
4000,3.93171732918545,66.6580437788892
5000,5.12365665016686,64.0568105583129
6000,5.21939423055466,64.2118177871709
7000,5.0618212509108,64.2105438570061
8000,3.31513405348712,63.1002352754927
9000,3.47644271394577,64.8356316018198
10000,4.39733771331547,63.8998372378227
30000,2.02989060466717,64.324297252895
50000,1.61488732092314,64.0905802712863
70000,1.24466687276708,63.9186466160914
90000,0.902903500307045,64.6202531524548
110000,0.992116327412952,64.4577357252951
130000,1.1990918296853,64.674003681779
