year,white_sd,black_sd,asian_sd,native_sd,other_sd
1990,1.928342381,5.538658738,0.346399515,5.399407882,1.825743196
1991,0.955947604,1.882359495,0.00135148,4.132145757,1.087420615
1992,0.753648653,1.538250421,0.003271991,2.111316419,0.549711231
1993,0.679640145,3.01116047,0.014049088,5.429093755,0.12067132
1994,1.150218553,5.360038424,0.037153159,9.084056574,0.465354132
1996,0.588190287,1.675990342,0.025706448,1.095060332,0.197973703
1997,0.283279814,1.078015337,0.06216775,1.522501418,0.263578884
1998,0.324552357,1.040075436,0.083482687,1.389978686,0.347106799
1999,0.229363469,1.538775348,0.071960386,1.601653559,0.334640938
2000,0.506291154,1.183277052,0.141937671,3.802104004,0.52183543
2001,0.459352491,1.433809451,0.053870364,2.935846842,0.606103192
2002,0.20251821,1.408991844,0.050298554,1.18929632,0.125191539
2003,0.159366114,1.423806028,0.031143414,0.998799574,0.051188403
2005,0.202774302,0.973179762,0.027710324,1.828131977,0.224651368
2006,0.187450051,0.921250446,0.031082185,1.368555817,0.176686983
2007,0.169686539,0.343043178,0.024184584,0.40922218,0.273520072
2008,0.139626388,0.637690579,0.026079996,0.82535623,0.254322618
2009,0.062422469,0.19196861,0.008759957,0.223326259,0.129873207
2010,0.069939941,0.252025797,0.010829159,0.138434131,0.089886913
