year,white_sd,black_sd,asian_sd,native_sd,other_sd
1990,117.1660726,297.4194437,85.85986553,313.5491474,295.0375864
1991,90.24909996,149.9689837,27.7145434,188.5650062,154.4838988
1992,53.53024293,114.2291086,30.0410898,117.9265668,129.9125718
1993,44.41566774,107.6606771,28.44557272,80.11904765,93.60535672
1994,48.55008221,94.55345688,17.37556683,69.84040978,94.95008818
1996,33.34951616,85.63564846,21.6294275,41.43418838,58.37055665
1997,25.81917958,69.95581933,14.56468923,57.16500402,76.03557553
1998,23.76754203,41.02606544,13.33305923,29.50395041,30.93602915
1999,23.22650956,35.46849595,12.86723165,29.0379559,23.19816072
2000,29.28182075,61.38531358,22.6430227,36.64385238,40.4258585
2001,20.27842445,33.03106116,12.82751322,21.51862294,39.43058036
2002,13.72654266,23.79525571,7.01924265,14.52432639,27.21473556
2003,11.96813762,12.21424876,8.638072736,13.6561006,9.443310915
2005,17.28177423,16.8973397,7.384666427,9.457947588,6.992090407
2006,13.14015258,17.6617883,9.087614613,15.07562016,10.97049998
2007,11.30642772,18.45572919,7.563230879,10.15362449,17.31587021
2008,8.294442832,11.31320399,6.4189143,11.4928668,14.43822763
2009,4.334359638,5.970535675,3.167126117,6.499714881,6.561840014
2010,6.057968478,8.616318399,2.712342772,5.899836052,3.835678665
