"","block","concentration","area"
"1","01001",466.014559117208,2385.853634
"2","01003",1496.08090037719,8002.915339
"3","01005",86.3285244470111,3570.622747
"4","01007",192.581809476252,2471.83255
"5","01009",7903.49298957723,2568.381062
"6","01011",106.816786275565,2359.781277
"7","01013",9.51877920878473,3070.72819
"8","01015",44089.5397156863,2417.033325
"9","01017",12.2080577187468,2380.815218
"10","01019",974.499928381731,2368.441
"11","01021",74.4840336445388,2766.455879
"12","01023",108.683908804727,3635.140613
"13","01025",553.784007068933,4944.598234
"14","01027",1986.96350011742,2392.215258
"15","01029",7678.01762044289,2214.631562
"16","01031",364.593077461039,2686.284797
"17","01033",6620.6250516791,2455.891283
"18","01035",191.827156316944,3366.158866
"19","01037",21.7006549978761,2630.44476
"20","01039",20.2834968351269,4120.409208
"21","01041",141.349523297491,2411.619608
"22","01043",68411.4180947565,2980.483433
"23","01045",2085.64268309477,2221.282387
"24","01047",252.611378732837,3923.094276
"25","01049",2710.78664494807,3073.914483
"26","01051",156.35587780084,2593.70292
"27","01053",348.92436794563,3762.574141
"28","01055",2084.97686503956,2165.734063
"29","01057",129.802199799838,2484.408783
"30","01059",855.410681433018,2552.176585
"31","01061",1369.56631645213,2285.435193
"32","01063",87.1106041841028,2605.149776
"33","01065",79.6307671190809,2591.573407
"34","01067",1171.68827829528,2243.429809
"35","01069",10095.9970312502,2296.112865
"36","01071",474.25509154242,4447.976969
"37","01073",4348.44270003889,4436.313926
"38","01075",1228.24474483399,2390.103873
"39","01077",5906.70954885326,2846.150786
"40","01079",16948.0389053365,2831.172417
"41","01081",148.994579811969,2431.096124
"42","01083",18036.0926763921,2396.901529
"43","01085",249.13520145544,2862.258016
"44","01087",26.37229400161,2420.670547
"45","01089",2889.33575191205,3208.23361
"46","01091",336.236905869489,3879.137768
"47","01093",2287.46438696937,2935.290813
"48","01095",1670.99528439816,2460.034157
"49","01097",6149.68476201599,6489.820444
"50","01099",929.254583076696,4083.416926
"51","01101",454.057664416586,3157.695039
"52","01103",31295.6292487084,2364.795813
"53","01105",41.2257108661275,2857.551328
"54","01107",325.568913053258,3513.820868
"55","01109",768.832152770102,2656.727288
"56","01111",497.20903108485,2305.900318
"57","01113",376.256806682505,2554.818493
"58","01115",15526.3038706851,2580.277065
"59","01117",868.163774372191,3195.640112
"60","01119",159.926657396559,3605.384223
"61","01121",17555.6617162447,3001.357803
"62","01123",3.81848429873831,3024.83503
"63","01125",493.089747773456,5334.128746
"64","01127",1109.29464703471,3178.557568
"65","01129",2135.3483126906,4297.174191
"66","01131",590.405040451816,3582.05555
"67","01133",5515.84516176903,2494.327071
"68","04001",0.00507092488161346,8748.873331
"69","04003",0.173299541235435,8508.000272
"70","04005",0.999478401065021,16770.027783
"71","04007",7722.61822707127,7659.13298
"72","04009",2170.57887255507,2051.234657
"73","04012",1.13551631321469,9687.560853
"74","04013",1024.704994221,22930.192921
"75","04015",3.09135810499701,28791.165203
"76","04017",0.154139134889537,10423.033261
"77","04019",154.690067035104,13623.339861
"78","04021",3475.99576825735,20823.679264
"79","04023",1.13824938750872,951.612932
"80","04025",5.44087437778614,17193.931207
"81","04027",25.7176615219561,6863.494927
"82","05001",83.4019065794162,4080.782058
"83","05003",361.700404995224,3712.645544
"84","05005",159.24393667687,2316.093543
"85","05007",57.6578044320266,3489.26837
"86","05009",50.5009472205313,2375.762424
"87","05011",173.860789966158,2577.420268
"88","05013",816.91059613458,2496.420948
"89","05015",10.9197642932452,2521.699886
"90","05017",36.0662772523416,2623.236353
"91","05019",22.9006387848769,3485.014034
"92","05021",332.949449962865,2532.10571
"93","05023",43.0414763357933,2336.641463
"94","05025",55.7859005046327,2363.589216
"95","05027",1974.56034765009,3026.791192
"96","05029",836.588525081087,2236.94652
"97","05031",288.02677387559,2813.319399
"98","05033",105.965245443175,2385.290677
"99","05035",2095.29198491637,2512.141253
"100","05037",94.1576139379865,2456.581414
"101","05039",30.5476592106953,2637.384787
"102","05041",184.227835648442,3235.12055
"103","05043",40.4758980542862,3298.805872
"104","05045",3147.67573715847,2621.461335
"105","05047",42.9705400430046,2446.066846
"106","05049",8.59204675381407,2448.779314
"107","05051",45.3309177861769,2899.969027
"108","05053",210.700101152539,2498.518574
"109","05055",858.525563586407,2287.849376
"110","05057",395.94294701284,2925.838911
"111","05059",267.642312215639,2456.058673
"112","05061",579.951886648853,2350.020628
"113","05063",54.963019243672,3045.605408
"114","05065",9.48479462623866,2305.439352
"115","05067",12.340843006038,2532.360852
"116","05069",214.015868832005,3607.172791
"117","05071",9.15902915097322,2695.167677
"118","05073",194.260992576554,2151.732821
"119","05075",42.0069230305308,2338.305371
"120","05077",48.9944703054254,2350.227954
"121","05079",50.1711311703792,2258.726535
"122","05081",908.319305734692,2229.442437
"123","05083",49.889301593951,2887.846742
"124","05085",137.745746694108,3169.252408
"125","05087",3.24149256961344,3304.414975
"126","05089",31.8080670724075,2527.692011
"127","05091",451.78381668385,2517.159758
"128","05093",7291.70627161447,3631.00776
"129","05095",9.11299491166742,1871.086605
"130","05097",37.4490115965938,3159.189225
"131","05099",111.30243859631,2450.006959
