year,white_sd,black_sd,hispanic_sd,other_sd
1990,143.9335291,321.9154899,312.0303103,318.1744222
1991,110.8608692,215.4740203,268.1970817,197.9365678
1992,82.93582491,210.2444908,204.9577205,142.0660884
1993,63.14896722,207.3699822,133.8849226,108.443108
1994,73.7810545,126.8147119,132.5182906,118.4967695
1996,52.92615985,139.7089476,70.64224468,67.88519437
1997,55.02698952,131.4462484,84.68249057,94.56046987
1998,38.74370682,50.32686834,40.50232493,35.14106473
1999,30.93989095,70.16708137,29.85338528,30.33398598
2000,27.84551501,78.95436214,29.56525207,36.96990171
2001,20.68103173,51.13235956,53.39423947,31.89563769
2002,17.46013017,21.31803834,15.28008556,15.10966295
2003,18.17490394,17.09760573,18.84444518,18.59068804
2005,17.86699958,22.42736615,19.94784131,13.73017056
2006,15.64726946,28.44881754,33.81527996,17.61414836
2007,15.04991848,26.63467816,19.70019789,13.44340025
2008,13.49686412,14.80144489,18.49197814,15.77390822
2009,7.827590305,9.605565363,9.380145359,7.636759333
2010,8.19792007,11.58244714,6.574153401,9.615791693
2011,9.160421667,12.83515432,4.454708723,6.005046593
2012,8.656013269,18.54922893,11.24131179,11.74418346
2013,7.308856397,10.27449709,7.684249579,8.635791878
