year,white_sd,black_sd,hispanic_sd,other_sd
1990,1.210826415,5.742472987,1.415727602,2.613338167
1991,0.949291991,2.535571293,1.12753231,1.537036828
1992,0.847278024,1.048262822,0.545599162,0.654794418
1993,0.695909467,3.43899284,0.113500074,1.500308856
1994,0.840675918,5.178051736,0.612464841,3.043644179
1996,0.699905221,1.906031269,0.294814861,1.792524091
1997,0.311714554,1.045562096,0.301827662,1.07875862
1998,0.376491328,1.00224438,0.422525207,1.100787883
1999,0.293993372,1.292208716,0.132743086,0.919093242
2000,0.373497156,1.55740779,0.338806658,1.228870795
2001,0.560985936,1.650108066,0.708397921,1.046302381
2002,0.223924904,1.184012252,0.210969157,0.694669576
2003,0.168397501,1.207289563,0.085834392,0.408126278
2005,0.256103519,0.861115085,0.215156605,0.360641281
2006,0.204796476,0.719408841,0.236550997,0.416576067
2007,0.158006436,0.317039705,0.307214192,0.249616694
2008,0.14324525,0.564063432,0.184949136,0.468246908
2009,0.059459302,0.189132343,0.091590396,0.137776514
2010,0.084595298,0.197227786,0.070635775,0.16435456
2011,0.077859015,0.219871146,0.059497223,0.29458867
2012,0.059800304,0.320364069,0.016439228,0.401031027
2013,0.060083334,0.418568242,0.058634877,0.438578539
